iso3,year,lays,lays_male,lays_female,pcr_modelled_pct,pcr_pct,pcr_wpia,general_public_services_pct,defense_pct,public_order_safety_pct,economic_affairs_pct,environmental_protection_pct,housing_community_amenities_pct,health_pct,recreation_culture_religion_pct,education_pct,social_protection_pct,sector_sum_pct,education_nec_pct,education_not_definable_by_level_pct,education_total_pct,post_secondary_non_tertiary_pct,ecd_and_primary_pct,education_rnd_pct,secondary_pct,education_subsidiary_services_pct,tertiary_pct,all_staff_pcttotal,capex_pcttotal,currex_pcttotal,expenditure_pctbudget_imf,expenditure_pctbudget_uis,expenditure_pctgdp,expenditure_perchild_ppp,lang_match_pct,teaching_staff_pcttotal,fsi_total,sap,pop_total,sap_share,hh_exp_pct,private_enrolment_pct,debt_pct_gdp,gdp_growth_pct,gdppc_2015_usd,inflation_pct,income_group,lang_frac
AFG,2012,,,,43.5099983215332,,,0.0790441554676572,0.4039697840836579,0.21160031314141,0.167650380299055,0.0040860379081735,0.0080028494112899,0.0324378014947284,0.005004002545507,0.0648944774239507,0.0233101982245687,0.9999999999999986,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7406401062011718,0.1507771015167236,0.8492228698730468,0.06489447742,0.103568000793457,0.0260420989990234,242.2626037597656,,0.6342982864379882,106.0,5411706.0,30560034.0,0.1770844234008378,,2.481329917907715,,12.7522870926697,568.929021458341,6.44121280934117,Low income,0.61
AFG,2013,,,,45.34000015258789,,,0.0464059578767446,0.465546897080793,0.21771577771497,0.142485296294801,0.0045015080295016,0.005432205006662,0.0273507253711256,0.0045035686531809,0.0713206748119136,0.0147373462833608,0.9999999571230536,0.0,0.0,1.0,0.0,0.1630195017738437,0.0,0.462552829229738,0.0,0.0795412668513078,0.7117121887207031,0.1885199928283691,0.8114800262451172,0.07132067481,0.141028003692627,0.0345445990562439,311.9874267578125,,0.6093210983276367,106.7,5545776.0,31622704.0,0.1753732381645794,,,,5.60074465863221,580.603833333096,7.38577178397855,Low income,0.61
AFG,2014,,,,46.70000076293945,,,0.0547729125866935,0.417984957954042,0.210581300567916,0.148772127536461,0.0031422101924952,0.0036979750438341,0.0353929806239456,0.0040576135582491,0.0796457023998253,0.0419522195365377,0.9999999999999996,0.5267355082881374,0.0,1.0,0.0,0.189556010340651,0.0,0.4630887687952991,0.0,0.086974293027769,0.7185527038574219,0.193030891418457,0.8069690704345703,0.0796457023999999,0.1446592998504639,0.036952199935913,323.8015441894531,,0.6144657135009767,106.5,5661283.0,32792523.0,0.1726394458883203,,2.477649927139282,,2.72454336219565,575.146245808546,4.67399603536345,Low income,0.61
AFG,2015,,,,47.63999938964844,54.48463821411133,0.574940025806427,0.05060319108312,0.461164233069571,0.229329579183658,0.121715957260998,0.0016531831269788,0.0052069451042226,0.0272108057033441,0.0039142585225869,0.0728490510882091,0.0263527958573105,0.9999999999999994,0.0,0.0,1.0,0.0,0.183236552376476,0.0,0.5198557018814466,0.0,0.128173676868019,0.7144709777832031,0.1959267044067383,0.8040733337402344,0.07284905109,0.1250899982452392,0.0325578999519348,281.08447265625,,0.6102597045898438,107.9,5806053.0,33831764.0,0.1716154380835714,,3.265239953994751,,1.45131466066431,565.569730408751,-0.661709164713742,Low income,0.61
AFG,2016,,,,48.34000015258789,,,0.0679074903268655,0.3730350010690519,0.1871856586708269,0.159318979928737,0.0026983878062227,0.027389776635244,0.0392739628011947,0.0059708604743203,0.0826023620713397,0.0546175202161988,1.0000000000000018,0.0046528592680293,0.0654305639389889,1.0,0.0264808232387245,0.6796996680409615,0.0002488759133431,0.0045084237385795,0.0319733668915085,0.1870054189698642,,,,0.08260236207,0.1621170043945312,0.045439600944519,357.8778686523438,,,107.9,5866992.0,34700612.0,0.1690745973010504,,4.123250007629395,,2.26031420279821,563.872336723147,4.38389195513915,Low income,0.61
AFG,2017,4.52,5.27,3.77,48.84000015258789,,,0.0580607644249112,0.363148656369255,0.195817940752558,0.191313011591427,0.0038431965210687,0.0134535542295698,0.0446452404191074,0.0066274450705041,0.0820247206254446,0.0410654699961567,1.0000000000000029,0.251122900989674,0.0549288857557447,1.0,0.0206456379615288,0.4260164224222543,0.0224931762100824,0.0021908349673978,0.0356606165182438,0.186941525175072,,,,0.08202472063,0.1566137981414795,0.0434319019317627,353.5057067871094,,,107.3,5960384.0,35688935.0,0.1670092985402898,,4.799270153045654,,2.6470032027451,562.769574140988,4.97595150553833,Low income,0.61
AFG,2018,4.6354704,5.463747,3.8071938,49.36000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.62076809859944,6077675.0,36743039.0,0.1654102427401282,,5.951280117034912,,1.18922812944517,553.125151688293,0.626149149168847,Low income,0.61
AFG,2019,,,,49.88000106811523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,6213858.0,37856121.0,0.1641440759342458,,7.298679828643799,,3.91160341625552,557.861533207459,2.30237251516834,Low income,0.61
AFG,2020,4.700961449999999,5.527435,3.8744879,50.56000137329102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.90118710068992,6368936.0,39068979.0,0.1630177230892059,,,,-2.35110067203466,527.834554499306,5.60188791482224,Low income,0.61
AFG,2021,,,,51.45999908447266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1,6559317.0,40000412.0,0.1639812359932692,,,,-20.7388393676343,408.625855217403,5.13320340824963,Low income,0.61
AFG,2022,,,,52.33000183105469,44.24225997924805,0.2497999966144562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.90000000000002,6633091.0,40578842.0,0.1634618109605,,,,-6.24017199240269,377.665627080705,13.7121023720065,Low income,0.61
AFG,2023,,,,53.34999847412109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6,6689083.0,41454761.0,0.161358619339284,,10.29668045043945,,2.26694373649188,378.06630312259,-4.64470870797775,Low income,0.61
AFG,2024,,,,54.38999938964844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6839359.0,42647492.0,0.1603695476395188,,,,,,-6.60118564073726,Low income,0.61
AFG,2025,,,,55.43999862670898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6990584.0,,,,,,,,,,0.61
AFW,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00073960255909,1677.95238312056,1.78484420477113,Aggregates,
AFW,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92204702375463,1711.53923110365,4.01869907534492,Aggregates,
AFW,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12970299383294,1749.98138710355,4.57837463515948,Aggregates,
AFW,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04669213138413,1805.79842409374,2.43920076104126,Aggregates,
AFW,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6915512073646,1857.17116320705,1.76843582146224,Aggregates,
AFW,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93286367242145,1860.72768628324,2.13081738058791,Aggregates,
AFW,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194316483405615,1815.17120349953,1.48741550755546,Aggregates,
AFW,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29634886599959,1808.72220111739,1.72548602374731,Aggregates,
AFW,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.90466430784954,1814.69463581898,1.78404994832044,Aggregates,
AFW,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28168276850104,1829.06806387649,1.98309228487232,Aggregates,
AFW,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.73062984236253,1719.26150438049,2.49037783931949,Aggregates,
AFW,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54969083217036,1721.90947456022,3.74556782333009,Aggregates,
AFW,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47279468511532,1757.45658962159,7.94925143524016,Aggregates,
AFW,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66242752919044,1778.86434703356,5.22116801324002,Aggregates,
