iso3,year,all_staff_pcttotal,capex_pcttotal,currex_pcttotal,expenditure_pctbudget_imf,expenditure_pctbudget_uis,expenditure_pctgdp,expenditure_perchild_ppp,lang_match_pct,teaching_staff_pcttotal
ARM,2013,0.6720256042480469,0.22648920059204103,0.7735108184814453,0.08749750844,0.11136759757995611,0.02650180101394653,1549.904052734375,,0.4351665878295898
ARM,2014,0.6551222229003906,0.2603165054321289,0.7396835327148438,0.09376602096999999,0.09367119789123535,0.0224724006652832,,,
ARM,2015,0.8845462799072266,0.0,1.0,0.08866694501,0.10656359672546391,0.028059101104736327,1643.2004394531252,,
ARM,2016,0.82468017578125,0.09296770095825195,0.9070323181152343,0.08447907228,0.10197199821472169,0.02758120059967041,1681.913818359375,,
ARM,2017,0.7296336364746093,0.1241131973266602,0.8758867645263672,0.08891125988000001,0.1040312957763672,0.02707590103149414,1623.9921875,,0.4120840835571289
ARM,2018,,,,0.08988577026,0.08678587595846021,0.02113311805122895,,,
ARM,2019,,,,0.1000509266,0.08575244272365574,0.021598423983977072,,,
ARM,2020,0.8348599243164062,0.0920419979095459,0.9079579925537109,0.09572379842,0.0882777976989746,0.027055599689483636,2181.546142578125,,0.5314239120483397
ARM,2021,0.6916452026367188,0.046288299560546885,0.9537117004394531,0.09667304102999999,0.09655320167541503,0.027678499221801756,2530.4931640625,,0.4452037811279297
ARM,2022,0.7212541961669922,0.07955249786376953,0.9204474639892578,0.09702664116,0.09446550369262695,0.02491899967193604,2446.074462890625,,0.4723868942260742
ARM,2023,0.8288401794433594,0.08003849983215332,0.9199614715576172,0.09961885738,0.0903689956665039,0.024386999607086183,2615.763427734375,0.8810360717773438,0.5332941055297852
ARM,2024,,,,,0.09440014663011535,,,,
ARM,2025,,,,,0.0870836280773259,,,,
ATG,2012,,,,,0.1014325661585533,0.021304302590708278,,,
ATG,2013,,,,,0.1073023376289031,0.023597214312659803,,,
ATG,2014,,,,,0.10316623721665269,0.02304440937563795,,,
ATG,2015,,,,,0.07630211861107442,0.01993475530276099,,,
ATG,2016,,,,,0.06483569777718107,0.02171499315046356,,,
ATG,2017,,,,,0.07172854627390551,0.022815831503889692,,,
ATG,2018,,,,,0.07587625434543993,0.02269227084368933,,,
ATG,2019,,,,,0.09543664171125896,0.03357256533825629,,,
ATG,2020,,,,,0.07378756730220586,0.03005183046086398,,,
ATG,2021,,,,,0.0685999508093725,0.025089739319886492,,,
ATG,2022,,,,,0.07805379692752923,0.02503687555523828,,,
ATG,2023,,,,,0.08669606644639806,0.03105051618321362,,,
ATG,2024,,,,,0.11035898054785809,,,,
ATG,2025,,,,,0.05870046190306808,,,,
AUS,2010,,,,0.1711578119,,,,,
AUS,2011,,,,0.1712748079,,,,,
AUS,2012,,,,0.1539351387,,,,,
AUS,2013,,,,0.15562989500000002,,,,,
AUS,2014,,,,0.1503333373,,,,,
AUS,2015,,,,0.1488242708,,,,,
AUS,2016,,,,0.1489055313,,,,,
AUS,2017,,,,0.148495868,,,,,
AUS,2018,,,,0.1510843665,,,,,
AUS,2019,,,,0.1529336831,,,,,
