iso3,year,sap,pop_total,sap_share,hh_exp_pct,private_enrolment_pct
ARM,2019,167249.0,2962500.0,0.05645535864978903,,2.453219890594482
ARM,2020,166799.0,2961500.0,0.05632247172041195,,2.484100103378296
ARM,2021,164491.0,2962300.0,0.05552813692063599,,2.581049919128418
ARM,2022,160710.0,2969200.0,0.054125690421662404,,2.886369943618774
ARM,2023,159266.0,2964300.0,0.05372803022636036,,3.191570043563843
ARM,2024,157745.0,3033500.0,0.052000988956650736,,3.152559995651245
ARM,2025,153161.0,,,,
ASM,2010,7642.0,55228.0,0.1383718403708264,,
ASM,2011,7541.0,54895.0,0.13737134529556425,,
ASM,2012,7476.0,54489.0,0.13720200407421682,,
ASM,2013,7418.0,54006.0,0.13735510869162684,,
ASM,2014,7336.0,53466.0,0.13720869337522912,,
ASM,2015,7222.0,52878.0,0.13657853927909527,,
ASM,2016,7067.0,52245.0,0.13526653268255334,,
ASM,2017,6852.0,51586.0,0.1328267359361067,,
ASM,2018,6613.0,50908.0,0.12990099787852596,,
ASM,2019,6375.0,50209.0,0.1269692684578462,,
ASM,2020,6158.0,49761.0,0.12375153232451117,,
ASM,2021,5991.0,49225.0,0.1217064499746064,,
ASM,2022,5745.0,48342.0,0.11884075958793595,,
ASM,2023,5520.0,47521.0,0.11615917173460154,,
ASM,2024,5422.0,46765.0,0.11594140917352722,,
ASM,2025,5273.0,,,,
ATG,2010,9364.0,85320.0,0.10975152367557431,,51.93709182739258
ATG,2011,9262.0,86332.0,0.10728351017004123,,52.19713973999023
ATG,2012,9200.0,87260.0,0.10543204217281688,,52.59733963012695
ATG,2013,8999.0,88064.0,0.10218704578488372,,
ATG,2014,9045.0,88765.0,0.10189827071480877,,51.3763313293457
ATG,2015,9128.0,89409.0,0.10209263049581138,,51.57289123535156
ATG,2016,9095.0,89969.0,0.10109037557380876,,
ATG,2017,9063.0,90468.0,0.10017906884202149,,49.87934875488281
ATG,2018,8979.0,90926.0,0.09875063238237687,,48.76025009155273
ATG,2019,8811.0,91364.0,0.09643842213563329,,
ATG,2020,8614.0,91846.0,0.09378742677960934,,
ATG,2021,8315.0,92349.0,0.09003887427043065,,
ATG,2022,7958.0,92840.0,0.08571736320551486,,
ATG,2023,7768.0,93316.0,0.08324403103433495,,
ATG,2024,7516.0,93772.0,0.08015185769739368,,
ATG,2025,7388.0,,,,
AUS,2010,1910177.0,22031750.0,0.08670110181896581,,30.87215042114258
AUS,2011,1939761.0,22340024.0,0.08682895774865775,,31.08157920837402
AUS,2012,1971349.0,22733465.0,0.08671572943235886,,31.08473014831543
AUS,2013,2011038.0,23128129.0,0.08695204008936477,,31.04430961608887
AUS,2014,2056228.0,23475686.0,0.08758968747494748,,30.90736961364746
AUS,2015,2105504.0,23815995.0,0.08840713982346737,,30.4306697845459
AUS,2016,2154254.0,24190907.0,0.08905222115069931,,30.08259010314941
AUS,2017,2202733.0,24592588.0,0.08956897907613465,,29.81307983398438
AUS,2018,2238948.0,24963258.0,0.0896897352100435,,29.69701957702637
AUS,2019,2259372.0,25334826.0,0.08918048223421783,,29.53874969482422
AUS,2020,2271137.0,25649248.0,0.0885459487935085,1.961001992225647,29.61090087890625
AUS,2021,2269663.0,25685412.0,0.08836389309231248,1.976493954658508,30.17436027526855
AUS,2022,2267448.0,26018721.0,0.0871467894213555,,30.88163948059082
AUS,2023,2274810.0,26659922.0,0.08532695632042735,,31.26457977294922
AUS,2024,2279196.0,27196812.0,0.083803792885725,,31.75301933288574
AUT,2010,325297.0,8363404.0,0.03889528713428169,0.2007043063640594,5.74029016494751
AUT,2011,324539.0,8391643.0,0.03867407133501747,0.194168895483017,5.809390068054199
AUT,2012,325863.0,8429991.0,0.03865520141124706,0.3852685987949371,5.876339912414551
AUT,2013,324764.0,8479823.0,0.03829844089906122,0.4195607006549835,5.884860038757324
AUT,2014,324102.0,8546356.0,0.037922829332173856,0.4432739913463593,5.991809844970703
AUT,2015,324236.0,8642699.0,0.03751559553329348,0.2834953963756561,6.143829822540283
AUT,2016,327629.0,8736668.0,0.0375004521174434,0.4625680148601532,6.238759994506836
AUT,2017,331274.0,8797566.0,0.037655187809901056,0.512016773223877,6.213029861450195
AUT,2018,334439.0,8840521.0,0.037830236475881907,0.5085927844047546,6.258540153503418
AUT,2019,336094.0,8879920.0,0.037848764403282914,0.5119591951370239,6.27003002166748
AUT,2020,338694.0,8916864.0,0.037983533224236685,0.4540056884288788,6.266779899597168
AUT,2021,341004.0,8955797.0,0.03807634317749721,0.4421164095401764,6.330019950866699
