iso3,year,education_nec_pct,education_not_definable_by_level_pct,education_total_pct,post_secondary_non_tertiary_pct,ecd_and_primary_pct,education_rnd_pct,secondary_pct,education_subsidiary_services_pct,tertiary_pct
CZE,2011,0.015224793545537392,0.020273632536216887,1.0,0.004937015314252484,0.24048799852392747,0.015073831582360928,0.45722464817475794,0.057589193359910085,0.18918888696303668
CZE,2012,0.017678704351160538,0.0205151918435477,1.0,0.00499627816750501,0.24097173662959875,0.01853585365303499,0.42992804457176376,0.0649798118782848,0.2023943789051046
CZE,2013,0.0179870075086476,0.024449506454062263,1.0,0.006963075452065573,0.2499282881970809,0.017227706065974856,0.42686239770522233,0.0562220534885683,0.20035996512837811
CZE,2014,0.021205941080371167,0.020090119910734318,1.0,0.004954459547478453,0.24015781662093058,0.01682273926088861,0.4449403649642832,0.05426948415961049,0.1975590744557036
CZE,2015,0.019972722200409163,0.022178710917319332,1.0,0.005119753673203693,0.23965716765514244,0.026611353350829706,0.4465448120518279,0.050882395486764063,0.1890330846645037
CZE,2016,0.016354361162976793,0.02265048457366409,1.0,0.00541255445896683,0.2547734951542634,0.016271005601493742,0.45496576864941773,0.05163043478260871,0.17794189561660892
CZE,2017,0.01894309973387403,0.022268407046001772,1.0,0.005337726523887973,0.2587504752249398,0.015521480167279177,0.46097072614370793,0.05248004055252819,0.16572804460778096
CZE,2018,0.018087169111448323,0.022605800033721125,1.0,0.005125611195413923,0.2465477996965098,0.01664137582195245,0.4587801382566177,0.05034142640364187,0.18187067948069463
CZE,2019,0.015345001306116367,0.022483860133597055,1.0,0.005213270142180097,0.24652013285069238,0.02024480352278241,0.4743814606112627,0.05170354890472816,0.1641079225286413
CZE,2020,0.014884131921936166,0.023260530251726527,1.0,0.0054068148319831345,0.260099299975012,0.017542271296802633,0.4779906784049715,0.04589092937099152,0.15492534394657645
CZE,2021,0.015672601719585677,0.023891408841649184,1.0,0.0054701780515875615,0.2660009478031277,0.015418725881795416,0.4797339381219958,0.04331798794936024,0.15049421163089838
CZE,2022,0.015245632745211755,0.024045627755845338,1.0,0.005619273922452768,0.26304251563854525,0.013811189901522374,0.4764501905314297,0.04734285054976579,0.15444271895522663
CZE,2023,0.013493665176686926,0.024353362284815515,1.0,0.006161345723488287,0.2650014745595115,0.012753494127783597,0.48036811944510316,0.05166740876524435,0.1462011299173668
DEU,2000,0.013900045402158353,0.03558830719798833,1.0,0.015343601206067595,0.24787250142609338,0.0018160863339503344,0.4417630007334195,0.035995762465220786,0.20772069523510167
DEU,2001,0.012432253069350736,0.02902333812631347,1.0,0.016956088928215908,0.25361132618073223,0.001703351399181507,0.43638977989160493,0.04089149430372747,0.20899236810087382
DEU,2002,0.012747290929227566,0.03003322547720906,1.0,0.01734022454342114,0.2586266802753589,0.0017589958522443465,0.44417902668896175,0.032443701274729085,0.2028708549588482
DEU,2003,0.012963202622837667,0.030747163625382858,1.0,0.017374142616798236,0.2574198697208921,0.0017471204866054012,0.4391743237996635,0.03673266899616064,0.20384150813165958
DEU,2004,0.012851018220793136,0.03066452304394426,1.0,0.01743837084673097,0.2570739549839228,0.0015005359056805988,0.4378778135048232,0.03866023579849946,0.20393354769560562
DEU,2005,0.013492012982880414,0.03034642228303528,1.0,0.017575680434459787,0.25625278431871695,0.001591039266849106,0.43243386580114135,0.04202465050170771,0.20628354441120933
DEU,2006,0.012730665560854237,0.02934895293385859,1.0,0.01752021563342318,0.258366162139747,0.0016794526228488418,0.43204437072361596,0.042940078789135395,0.2053701015965167
DEU,2007,0.012440307813973296,0.02881447009560889,1.0,0.017367764698725554,0.25889426245298136,0.001703318429297077,0.4274011213512993,0.04182255071934789,0.21155620443876677
DEU,2008,0.013368296061745498,0.02887393627547992,1.0,0.017326340787650895,0.2626954284583416,0.001751434791213138,0.42091826637641017,0.044795171185434406,0.21027112606372456
DEU,2009,0.012845497985571061,0.027255691932914834,1.0,0.01677129204534807,0.25888691089665505,0.0019113651269558607,0.3913051625597301,0.08308816640119927,0.20793591305162565
DEU,2010,0.011454227281565407,0.023041026638148936,1.0,0.016651052622275647,0.26570979088964697,0.0019267141569299757,0.38811800682304276,0.08610998179343503,0.20698919979495511
DEU,2011,0.010254208175884577,0.02225180350395053,1.0,0.01680693919615253,0.2657506011679835,0.001958090003435236,0.3810116798351082,0.08783064239093095,0.21413603572655449
DEU,2012,0.011021509998452512,0.020744854622672323,1.0,0.016738595918086623,0.27677573548376,0.0019601437438745402,0.37944256263003145,0.09012362660981102,0.20319297099331146
DEU,2013,0.010838430615058238,0.021140305259073986,1.0,0.01608016971678099,0.28662819973089654,0.0017665073508168025,0.3732943711151284,0.08679824670018078,0.20345376951206426
DEU,2014,0.011046893261395109,0.020188597684955418,1.0,0.01592193528761948,0.2913658122668545,0.0015449640575719214,0.37085541377819764,0.08616576743888188,0.20291061622452408
DEU,2015,0.010867109660432037,0.020152840639095115,1.0,0.017379585413923926,0.2932094197197143,0.0016748591949769759,0.36613201006473534,0.08356378876520032,0.20702038654192215
DEU,2016,0.010226970307569472,0.02060601452305821,1.0,0.017039881382351827,0.30122039311105203,0.002129034710869478,0.36783636847507895,0.08516138843477931,0.19577994905524085
DEU,2017,0.01039759830123746,0.02138097678846013,1.0,0.017075492421468847,0.3069561397085744,0.002321153986966382,0.3693710185252983,0.07812843230577726,0.19436918796221714
DEU,2018,0.01081623550401427,0.021214317573595,1.0,0.016530999107939343,0.31206790811775204,0.002411351471900084,0.36561245539696696,0.07763018510258698,0.19371654772524532
DEU,2019,0.011781751127794792,0.021087292963219074,1.0,0.01624024498666403,0.3181006947874478,0.0021930257828706814,0.3644835193783134,0.07858013105469394,0.18753333991899637
DEU,2020,0.01221918399198076,0.019413656809689067,1.0,0.016235146332024282,0.3264158963589877,0.002296648289250796,0.36568096890642743,0.07897424835523185,0.1787642509564081
DEU,2021,0.013339033775117571,0.016893666402003297,1.0,0.015861479264643017,0.3325230562511452,0.001972760031759595,0.3662126671959935,0.08225126733036098,0.170946069748977
DEU,2022,0.01345611100573077,0.017939565334850808,1.0,0.015692090151920125,0.3301029470090186,0.0034315669672880275,0.36007311479367493,0.08386358802802733,0.1754410167094894
DEU,2023,0.015133696953571908,0.018422242916056944,1.0,0.01576160702407876,0.3285459624850339,0.0025648529998669616,0.3477983237993881,0.09183982971930292,0.17993348410270057
DEU,2024,0.015268470172264936,0.018742548205402297,1.0,0.015253052666200717,0.3322523948526086,0.0031503104057887554,0.3460150885992681,0.09528532664556179,0.1740328084529047
DNK,2000,0.025069264659671374,0.07535017033629343,1.0,0.0,0.451279601518777,0.005513488482016351,0.2315276863290653,0.00786161976835798,0.2033980490603999
DNK,2001,0.02398211796813999,0.04820903752271285,1.0,0.0,0.4789304166028153,0.0069083760225340605,0.2543317452585798,0.008156100177324366,0.17948220644789364
DNK,2002,0.023892684348089853,0.041552649231960025,1.0,0.0,0.4706778806230584,0.005892621590650903,0.25025359073372394,0.010445770833340076,0.19728480263917675
DNK,2003,0.024712071074404696,0.03972316850069213,1.0,0.0,0.485625494190545,0.005294542864471486,0.23830763719153508,0.006929690861953102,0.19940739531639856
DNK,2004,0.024318610575723133,0.02984991064106473,1.0,0.0,0.4797807631305153,0.005402099183810983,0.24818998578990614,0.010097599748088326,0.20236103093089136
DNK,2005,0.024857228501275447,0.029075287334358785,1.0,0.0,0.48096549201132455,0.005802219377275024,0.2658221990274102,0.010159108714136942,0.18331856455429338
DNK,2006,0.027159378814315863,0.04042561047418626,1.0,0.0,0.48157858210775817,0.006522782182531955,0.2618463444234677,0.00975082670493757,0.17271647529280212
DNK,2007,0.019848254511423535,0.027961580487447135,1.0,0.0,0.4877901231822745,0.006725735799241405,0.25803637850276795,0.008868562012641617,0.19076926797888932
DNK,2008,0.021332471863070187,0.02694515701880118,1.0,0.0,0.4791320461167478,0.006676180820458826,0.2559900287320605,0.008447605000618712,0.20147660204204726
DNK,2009,0.018587581502945715,0.030852081135653013,1.0,0.0,0.47693684209195425,0.006525461623496955,0.2541578671652126,0.011763059752601075,0.20117710672813643
DNK,2010,0.01811642609531833,0.030014918013393805,1.0,0.0,0.4566644790037062,0.00801168766419673,0.278305398009552,0.011394223242350763,0.19749286797148205
DNK,2011,0.017177491707150192,0.023957379448261276,1.0,0.0,0.46035824983147083,0.008347332759328866,0.26816230512342987,0.008381414607928333,0.21361582652243064
DNK,2012,0.014975350095674534,0.020620757108557087,1.0,0.0,0.44543016977659694,0.008315534010164657,0.2765404666723544,0.008172936294165678,0.22594486221648044
DNK,2013,0.013856376107502854,0.01883416208376397,1.0,0.0,0.4365283794031323,0.006331315656058092,0.28199556451652474,0.007312139733957038,0.23514206249906136
DNK,2014,0.013714147446390688,0.017591544987231627,1.0,0.0,0.4265341895685722,0.006893127503073624,0.28607370713987035,0.007621662503372711,0.24157162085148862
DNK,2015,0.013597252804246274,0.01701993296738913,1.0,0.0,0.42737976872259376,0.0070883064553534225,0.27718782933361213,0.00801771419527837,0.24970919552152662
DNK,2016,0.013600442743840202,0.01678346992496534,1.0,0.0,0.4264265602579102,0.0072561808186472595,0.26696036705471204,0.008444884684373336,0.2605280244434064
DNK,2017,0.01370281487730532,0.0167056595428752,1.0,0.0,0.44097958480616584,0.006891520690905818,0.26584661772447216,0.009355803197349521,0.24651799916092593
