iso3,year,pcr_modelled_pct,pcr_pct,pcr_wpia
ISL,2014,97.45999908447266,,
ISL,2015,97.37999725341797,,
ISL,2016,97.33000183105469,,
ISL,2017,97.30999755859375,,
ISL,2018,97.31999969482422,,
ISL,2019,97.31999969482422,,
ISL,2020,97.3499984741211,,
ISL,2021,97.36000061035156,,
ISL,2022,97.38999938964844,,
ISL,2023,97.41999816894531,,
ISL,2024,97.41999816894531,,
ISL,2025,97.43000030517578,,
ISR,2010,99.76000213623047,,
ISR,2011,99.79000091552734,,
ISR,2012,99.80999755859375,99.95,1.0
ISR,2013,99.83999633789062,100.0,1.0
ISR,2014,99.87000274658203,,
ISR,2015,99.88999938964844,99.95,0.9990000128746033
ISR,2016,99.91000366210938,,
ISR,2017,99.94000244140625,99.83999999999999,0.9973999857902527
ISR,2018,99.94999694824219,100.0,1.0
ISR,2019,99.97000122070312,,
ISR,2020,99.98999786376953,,
ISR,2021,100.0,,
ISR,2022,100.0,,
ISR,2023,100.0,,
ISR,2024,100.0,,
ISR,2025,100.0,,
ITA,2010,99.7699966430664,99.29,
ITA,2011,99.77999877929688,99.45,
ITA,2012,99.80999755859375,99.29,
ITA,2013,99.81999969482422,99.47500000000001,
ITA,2014,99.83999633789062,99.36500000000001,
ITA,2015,99.86000061035156,99.325,
ITA,2016,99.86000061035156,99.48,
ITA,2017,99.87000274658203,99.53999999999999,
ITA,2018,99.87999725341797,99.505,
ITA,2019,99.88999938964844,99.6,
ITA,2020,99.88999938964844,99.64,
ITA,2021,99.9000015258789,99.69,
ITA,2022,99.91000366210938,,
ITA,2023,99.91999816894531,,
ITA,2024,99.93000030517578,,
ITA,2025,99.93000030517578,,
JAM,2010,99.05000305175781,,
JAM,2011,99.08000183105469,99.4347915649414,0.9817699790000916
JAM,2012,99.11000061035156,,
JAM,2013,99.12999725341797,,
JAM,2014,99.1500015258789,,
JAM,2015,99.18000030517578,,
JAM,2016,99.19000244140625,,
JAM,2017,99.20999908447266,,
JAM,2018,99.22000122070312,,
JAM,2019,99.23999786376953,,
JAM,2020,99.25,,
JAM,2021,99.27999877929688,99.55419921875,
JAM,2022,99.30999755859375,99.19233703613281,0.9829999804496765
JAM,2023,99.33000183105469,,
JAM,2024,99.36000061035156,,
JAM,2025,99.37000274658203,,
JOR,2010,97.68000030517578,,
JOR,2011,97.70999908447266,,
JOR,2012,97.75,97.61999999999999,0.9566929340362549
