COUNTRY,COUNTRY_label,TIME_PERIOD,"General public services, Transactions","Defence, Transactions","Public order and safety, Transactions","Economic affairs, Transactions","Environmental protection, Transactions","Housing and community amenities, Transactions","Health, Transactions","Recreation, culture and religion, Transactions","Education, Transactions","Social protection, Transactions",sector_sum_before_norm,sector_sum_pct
BEL,Belgium,2023,12.61836118651759,1.7801043158219687,3.1944631449697294,12.692872487923838,2.2579793783745687,0.6968682865333198,14.844776530737407,2.3174812089939514,11.886649485657598,37.710443974470024,100.00000000000001,100.0
BFA,Burkina Faso,2017,62.1001223897888,0.9008958978592326,0.7509301589323485,20.93518999278271,0.26647502264303946,2.6974788570956316,4.639007757804476,0.231026562078665,7.142145211751873,0.3367281492632167,100.00000000000009,100.0
BFA,Burkina Faso,2018,55.11152346902997,6.852551509957311,1.6354369577465957,15.800811939473439,0.28167421337612286,1.5886011239645086,6.281596588291756,0.9379587493262844,11.009651991046137,0.5001934577878693,100.00000000000001,100.0
BFA,Burkina Faso,2019,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
BFA,Burkina Faso,2020,61.14783589839634,4.290915359859928,1.3628834154392617,18.728378259426403,0.4456885473971899,1.0420871608667805,5.2415603111361,0.35159754103600527,6.925053766786913,0.4639997396550568,100.00000000000016,99.99999999999997
BFA,Burkina Faso,2021,53.388643593529274,4.624995605824813,1.3743571314568055,14.437517664853553,0.4524624091152092,1.3036460128797354,14.392853282584175,0.5218561725653023,7.419977227030887,2.0836909001602475,99.99999999999997,100.00000000000001
BFA,Burkina Faso,2022,59.072435911925915,10.695056447380823,1.783896379258187,16.50008578395216,0.35482940544976277,1.2067389838124882,3.8931189781540136,0.39342618924000383,5.439624893985016,0.6607870268416381,99.99999999999989,99.99999999999999
BFA,Burkina Faso,2023,19.211699507621415,17.581055949987142,6.599363422280839,23.17352141086909,2.017156654666277,0.884152485918069,8.401105131855024,1.0310258918738346,18.844758382085573,2.256161162842725,100.00000000000004,99.99999999999999
BGD,Bangladesh,2016,21.18845102249439,10.010222498300294,9.361656338193496,19.136614641160993,0.13841947459293394,8.029796870643816,6.094858914850008,1.0936605837095394,18.625978840895893,6.320340815158637,100.00000000000004,100.0
BGR,Bulgaria,2016,10.317742560115835,3.1994449858868492,6.575860358690705,10.951415882372036,1.900603253234248,5.455683044062173,14.258711162411835,2.123019572702546,9.775480485048517,35.44203869547526,99.99999698033679,100.0
